lat,lon,rf_avg
8.25,77.0,3.566169
8.25,77.25,3.138899
8.25,77.5,2.0052812
8.25,77.75,2.040666
8.5,76.75,4.998047
8.5,77.0,4.25172
8.5,77.25,3.821057
8.5,77.5,2.035413
8.5,77.75,2.0772386
8.5,78.0,1.9954779
8.75,76.5,4.9472423
8.75,76.75,5.7303996
8.75,77.0,4.4043674
8.75,77.25,2.752662
8.75,77.5,1.9739708
8.75,77.75,1.8836737
8.75,78.0,2.0991921
9.0,76.5,6.0902987
9.0,76.75,7.280534
9.0,77.0,5.882509
9.0,77.25,2.616252
9.0,77.5,1.9781073
9.0,77.75,1.8372532
9.0,78.0,2.5214512
9.25,76.25,6.662274
9.25,76.5,7.1049404
9.25,76.75,7.877816
9.25,77.0,3.8053787
9.25,77.25,2.5914907
9.25,77.5,2.049146
9.25,77.75,2.5676067
9.25,78.0,1.8345013
9.25,78.25,1.9615185
9.25,78.5,2.1706536
9.25,78.75,2.627092
9.25,79.25,2.8641124
9.5,76.25,7.441205
9.5,76.5,7.932702
9.5,76.75,9.911461
9.5,77.0,7.144298
9.5,77.25,2.552456
9.5,77.5,2.4808884
9.5,77.75,2.363294
9.5,78.0,2.28014
9.5,78.25,2.2335076
9.5,78.5,2.4018226
9.5,78.75,2.655731
9.5,79.0,2.7763448
9.5,79.25,2.810212
9.75,76.25,7.9470367
9.75,76.5,8.932214
9.75,76.75,9.287542
9.75,77.0,5.6144795
9.75,77.25,2.7706096
9.75,77.5,2.9193497
9.75,77.75,2.772698
9.75,78.0,2.560961
9.75,78.25,2.535473
9.75,78.5,2.2935681
9.75,78.75,2.3425453
10.0,76.0,7.71425
10.0,76.25,8.125183
10.0,76.5,8.836946
10.0,76.75,8.762902
10.0,77.0,6.9890203
10.0,77.25,2.712549
10.0,77.5,2.422049
10.0,77.75,2.5674958
10.0,78.0,2.4537666
10.0,78.25,2.5103078
10.0,78.5,2.5517416
10.0,78.75,2.6340947
10.0,79.0,2.7993925
10.25,76.0,7.4396963
10.25,76.25,8.019475
10.25,76.5,7.490067
10.25,76.75,7.9194264
10.25,77.0,6.373101
10.25,77.25,4.035361
10.25,77.5,3.1521237
10.25,77.75,2.4325128
10.25,78.0,2.70583
10.25,78.25,2.3529232
10.25,78.5,2.794913
10.25,78.75,2.5766973
10.25,79.0,2.8159394
10.25,79.25,3.334673
10.5,76.0,7.285197
10.5,76.25,7.2013297
